rank,original_gene_id,hugo_symbol,mean_abs_shap_overall
1551,11001,SLC27A2,2.673409486212502e-05
1552,4112,MAGEB1,2.669604682941752e-05
1553,658,BMPR1B,2.6617875984880447e-05
1554,7068,THRB,2.6578059504975195e-05
1555,8817,FGF18,2.6564978111959054e-05
1556,346171,ZFP57,2.6462499206876098e-05
1557,427,ASAH1,2.6461454998039296e-05
1558,400224,PLEKHD1,2.6371945236159783e-05
1559,10991,SLC38A3,2.6327772695177354e-05
1560,56899,ANKS1B,2.6292572697277386e-05
1561,80328,ULBP2,2.6258892042474062e-05
1562,79190,IRX6,2.624182374607679e-05
1563,56917,MEIS3,2.6210066463849955e-05
1564,286753,TRARG1,2.619682311272036e-05
1565,64073,C19orf33,2.6150137683865697e-05
1566,122618,PLD4,2.5956744480315327e-05
1567,933,CD22,2.5954576991735494e-05
1568,2735,GLI1,2.5882844823337457e-05
1569,1302,COL11A2,2.5881895112878345e-05
1570,143098,MPP7,2.5858881722379115e-05
1571,387923,SERP2,2.57800588448069e-05
1572,4326,MMP17,2.5758028450247874e-05
1573,2187,FANCB,2.5749431472599677e-05
1574,375775,PNPLA7,2.5744726377343727e-05
1575,650,BMP2,2.5730550669768976e-05
1576,10350,ABCA9,2.5727300658195375e-05
1577,92737,DNER,2.5681553125616673e-05
1578,80000,GREB1L,2.5673583681540197e-05
1579,26577,PCOLCE2,2.567246033832181e-05
1580,1847,DUSP5,2.5664395747366677e-05
1581,4188,MDFI,2.5604557853382175e-05
1582,29899,GPSM2,2.5559145384529323e-05
1583,340485,ACER2,2.5433441097690995e-05
1584,51523,CXXC5,2.5420701005522873e-05
