feature_index,original_gene_id,hugo_symbol
1049,4488,MSX2
1050,4496,MT1H
1051,4499,MT1M
1052,4501,MT1X
1053,4582,MUC1
1054,4602,MYB
1055,4603,MYBL1
1056,4605,MYBL2
1057,4609,MYC
1058,4629,MYH11
1059,4651,MYO10
1060,4661,MYT1
1061,4680,CEACAM6
1062,4685,NCAM2
1063,4741,NEFM
1064,4747,NEFL
1065,4751,NEK2
1066,477,ATP1A2
1067,4776,NFATC4
1068,4781,NFIB
1069,4783,NFIL3
1070,4796,TONSL
1071,480,ATP1A4
1072,4804,NGFR
1073,4826,NNAT
1074,4828,NMB
1075,4857,NOVA1
1076,4861,NPAS1
1077,4886,NPY1R
1078,4887,NPY2R
1079,4889,NPY5R
1080,4902,NRTN
1081,4904,YBX1
1082,4915,NTRK2
1083,493911,PHOSPHO2
1084,494143,CHAC2
1085,4948,OCA2
1086,4953,ODC1
1087,4958,OMD
1088,4969,OGN
1089,4986,OPRK1
1090,4998,ORC1
1091,5010,CLDN11
1092,5013,OTX1
1093,5016,OVGP1
1094,5046,PCSK6
1095,50604,IL20
1096,5063,PAK3
1097,5064,PALM
1098,50649,ARHGEF4
1099,50651,SLC45A1
1100,5076,PAX2
1101,5083,PAX9
1102,50853,VILL
1103,5087,PBX1
1104,50937,CDON
1105,50940,PDE11A
1106,5100,PCDH8
1107,5104,SERPINA5
1108,51059,FAM135B
1109,51083,GAL
1110,51086,TNNI3K
1111,51097,SCCPDH
1112,51133,KCTD3
1113,51161,C3orf18
1114,51166,AADAT
1115,51200,CPA4
1116,51203,NUSAP1
1117,51207,DUSP13B
1118,51302,CYP39A1
1119,51312,SLC25A37
1120,51313,GASK1B
1121,5136,PDE1A
1122,51364,ZMYND10
1123,5137,PDE1C
1124,5138,PDE2A
1125,51380,CSAD
1126,51442,VGLL1
1127,51466,EVL
1128,51473,DCDC2
1129,51474,LIMA1
1130,51512,GTSE1
1131,51514,DTL
1132,5152,PDE9A
1133,51523,CXXC5
1134,5158,PDE6B
1135,5163,PDK1
1136,5166,PDK4
1137,5167,ENPP1
1138,51678,PALS2
1139,51700,CYB5R2
1140,51705,EMCN
1141,5174,PDZK1
1142,51751,HIGD1B
1143,51760,SYT17
1144,51764,GNG13
1145,51806,CALML5
1146,51809,GALNT7
1147,5205,ATP8B1
1148,5207,PFKFB1
1149,5214,PFKP
1150,5239,PGM5
1151,5241,PGR
1152,5243,ABCB1
1153,5266,PI3
1154,5267,SERPINA4
1155,5268,SERPINB5
1156,5274,SERPINI1
1157,5288,PIK3C2G
1158,5292,PIM1
1159,5304,PIP
1160,5317,PKP1
1161,5321,PLA2G4A
1162,5325,PLAGL1
1163,5327,PLAT
1164,53335,BCL11A
1165,5336,PLCG2
1166,5346,PLIN1
1167,5347,PLK1
1168,5348,FXYD1
1169,53632,PRKAG3
1170,5366,PMAIP1
1171,53832,IL20RA
1172,53833,IL20RB
1173,540,ATP7B
1174,54033,RBM11
1175,54039,PCBP3
1176,5409,PNMT
1177,54102,CLIC6
1178,54443,ANLN
1179,54463,RETREG1
1180,54478,PIMREG
1181,54490,UGT2B28
1182,54498,SMOX
1183,54536,EXOC6
1184,5457,POU4F1
1185,5460,POU5F1
1186,5465,PPARA
1187,54677,CROT
1188,54681,P4HTM
1189,547,KIF1A
1190,54742,LY6K
1191,54760,PCSK4
1192,54777,CFAP46
1193,54798,DCHS2
1194,54821,ERCC6L
1195,54829,ASPN
1196,54843,SYTL2
1197,54847,SIDT1
1198,54848,ARHGEF38
1199,54858,PGPEP1
1200,54898,ELOVL2
1201,54979,PLAAT2
1202,54986,ULK4
1203,54988,ACSM5
1204,55001,TTC22
1205,55010,PARPBP
1206,55036,CCDC40
1207,55040,EPN3
1208,55064,SPATA6L
1209,5507,PPP1R3C
1210,55071,C9orf40
1211,55103,RALGPS2
1212,55117,SLC6A15
1213,55137,FIGN
1214,55143,CDCA8
1215,55165,CEP55
1216,55194,EVA1B
1217,55214,P3H2
1218,55224,ETNK2
1219,55231,CCDC87
1220,55240,STEAP3
1221,55247,NEIL3
1222,55250,ELP2
1223,55259,DNAI7
1224,55273,TMEM100
1225,55301,OLAH
1226,55314,TMEM144
1227,55351,STK32B
1228,55353,LAPTM4B
1229,55355,HJURP
1230,55388,MCM10
1231,554,AVPR2
1232,5540,NPY4R
1233,55450,CAMK2N1
1234,55503,TRPV6
1235,55512,SMPD3
1236,5553,PRG2
1237,55544,RBM38
1238,55553,SOX6
1239,55568,GALNT10
1240,55612,FERMT1
1241,55613,MTMR8
1242,55614,KIF16B
1243,55635,DEPDC1
1244,55638,SYBU
1245,5570,PKIB
1246,55723,ASF1B
1247,55733,HHAT
1248,55765,INAVA
1249,55771,PRR11
1250,55779,CFAP44
1251,55789,DEPDC1B
1252,55793,MINDY1
1253,55800,SCN3B
1254,55806,HR
1255,55809,TRERF1
1256,55839,CENPN
